Puertas,Kilómetros,Antigüedad,Cilindrada,Transmisión_Manual,vendedor_particular,squared_error,Marca,Modelo,combustible
5.0,1200000.0,15.0,3.0,0.0,0.0,1245582338.4350739,BMW,X6,Nafta
5.0,0.0,0.0,3.0,0.0,0.0,1236551950.2854004,Audi,Q7,Otros
5.0,0.0,1.0,2.0,0.0,0.0,1190137877.640625,Marca_Otros,XC60,Otros
5.0,800000.0,6.0,3.0,0.0,0.0,1183287169.8706207,BMW,X5,Nafta
5.0,0.0,0.0,3.0,0.0,0.0,1174065597.1604004,Audi,Q7,Otros
60252.0,430000.0,3.0,1.4,0.0,1.0,1171917001.8889103,Volkswagen,Taos,Nafta
5.0,570000.0,7.0,2.0,1.0,1.0,1165587343.1451569,Mercedes-Benz,Clase GLA,Nafta
5.0,0.0,0.0,3.6,0.0,0.0,1164218116.6604004,Jeep,Wrangler,Nafta
5.0,520000.0,9.0,3.0,0.0,0.0,1157256216.0947266,Audi,Q5,Nafta
5.0,68000.0,13.0,3.0,0.0,1.0,1130644828.1289062,BMW,X6,Nafta
5.0,68000.0,13.0,3.0,0.0,1.0,1130644828.1289062,BMW,X6,Nafta
3.0,0.0,0.0,3.6,0.0,0.0,1128189956.3530884,Jeep,Wrangler,Nafta
5.0,614000.0,4.0,3.0,0.0,0.0,1124761810.1572266,Audi,Q7,Diésel
5.0,950000.0,12.0,5.0,0.0,0.0,1124183363.211914,Marca_Otros,Range Rover Sport,Nafta
5.0,950000.0,12.0,5.0,0.0,0.0,1124183363.211914,Marca_Otros,Range Rover Sport,Nafta
5.0,660000.0,7.0,2.0,1.0,0.0,1110404886.5606842,Mercedes-Benz,Clase GLA,Nafta
4.0,780000.0,14.0,4.8,0.0,0.0,1110256761.5158691,Marca_Otros,Panamera,Nafta
5.0,1440000.0,18.0,6.1,0.0,1.0,1110134676.4204254,Jeep,Grand Cherokee,Nafta
5.0,0.0,1.0,1.4,0.0,0.0,1109021122.6259766,Volkswagen,Taos,Nafta
5.0,0.0,1.0,3.0,0.0,0.0,1106586733.2056274,Audi,Q7,Otros
5.0,0.0,0.0,3.0,0.0,0.0,1106536315.9104004,Audi,Q7,Otros
3.0,0.0,0.0,3.6,0.0,0.0,1094189746.5093384,Jeep,Wrangler,Nafta
5.0,1130000.0,13.0,3.2,0.0,1.0,1082447783.9234772,Audi,Q5,Nafta
60252.0,880000.0,6.0,2.0,1.0,1.0,1071411122.150445,BMW,X1,Nafta
60252.0,880000.0,6.0,2.0,1.0,1.0,1071411122.150445,BMW,X1,Nafta
5.0,910000.0,15.0,3.0,0.0,1.0,1065277037.0106354,BMW,X1,Nafta
5.0,910000.0,15.0,3.0,0.0,1.0,1065277037.0106354,BMW,X1,Nafta
5.0,850000.0,7.0,3.0,0.0,1.0,1058327719.9713287,BMW,X3,Nafta
5.0,11800.0,1.0,2.0,0.0,0.0,1047540508.7757721,Toyota,Corolla Cross,Nafta
5.0,1750000.0,19.0,5.7,0.0,1.0,1045198590.8447266,Jeep,Grand Cherokee,Nafta
5.0,590000.0,12.0,3.0,0.0,0.0,1039116379.326416,BMW,X5,Nafta
5.0,1500000.0,18.0,3.0,0.0,0.0,1030164249.029541,BMW,X3,Nafta
5.0,0.0,0.0,2.0,0.0,0.0,1027278620.1601562,Mercedes-Benz,Clase GLC,Nafta
5.0,1400000.0,8.0,3.0,0.0,0.0,1026349846.5459595,Marca_Otros,Range Rover Sport,Diésel
5.0,1400000.0,8.0,3.0,0.0,0.0,1026349846.5459595,Marca_Otros,Range Rover Sport,Diésel
5.0,11110.0,1.0,1.8,0.0,1.0,1022980503.8794098,Toyota,Corolla Cross,Otros
5.0,900000.0,11.0,3.0,0.0,0.0,1016633546.0717926,Marca_Otros,XC60,Nafta
5.0,1100000.0,12.0,3.0,0.0,1.0,987932071.0636139,Audi,Q7,Nafta
5.0,2240000.0,17.0,6.3,0.0,0.0,983288396.6065063,Mercedes-Benz,Clase ML,Nafta
5.0,740000.0,8.0,3.6,0.0,0.0,981781368.0588379,Marca_Otros,Cayenne,Nafta
5.0,900000.0,6.0,3.0,0.0,0.0,980832783.0625,Mercedes-Benz,Clase GLE,Nafta
5.0,380000.0,12.0,4.4,0.0,0.0,979101257.2275391,BMW,X6,Nafta
5.0,370000.0,7.0,3.0,0.0,1.0,976465822.7053223,Mercedes-Benz,Clase GLC,Nafta
5.0,800000.0,5.0,3.6,0.0,1.0,967160920.9351196,Jeep,Grand Cherokee,Nafta
5.0,330000.0,2.0,2.0,1.0,1.0,962651701.2861481,BMW,X1,Nafta
5.0,330000.0,2.0,2.0,1.0,1.0,962651701.2861481,BMW,X1,Nafta
5.0,1000000.0,16.0,4.2,0.0,1.0,960016486.1426392,Volkswagen,Touareg,Nafta
5.0,0.0,0.0,3.0,0.0,0.0,952626040.9104004,Audi,Q7,Otros
5.0,386800.0,6.0,3.0,0.0,0.0,945552890.6494141,Mercedes-Benz,Clase GLE,Nafta
5.0,386800.0,6.0,3.0,0.0,0.0,945552890.6494141,Mercedes-Benz,Clase GLE,Nafta
5.0,0.0,0.0,1.5,0.0,0.0,943879145.3247637,Marca_Otros,X3,Nafta
5.0,0.0,0.0,1.5,0.0,0.0,943879145.3247637,Marca_Otros,X3,Nafta
5.0,10000.0,0.0,1.3,0.0,1.0,937114338.6556821,Jeep,Compass,Nafta
5.0,289000.0,8.0,3.0,1.0,0.0,927480614.992691,Marca_Otros,Macan,Nafta
5.0,790000.0,13.0,3.0,0.0,0.0,927268158.9748535,BMW,X6,Nafta
5.0,790000.0,13.0,3.0,0.0,0.0,927268158.9748535,BMW,X6,Nafta
5.0,870000.0,12.0,4.4,0.0,0.0,926120889.0549316,BMW,X5,Nafta
5.0,5000.0,1.0,2.8,0.0,0.0,918361773.2346191,Toyota,SW4,Diésel
5.0,0.0,1.0,2.0,1.0,0.0,906277392.3823395,BMW,X1,Nafta
5.0,0.0,1.0,2.0,1.0,0.0,906277392.3823395,BMW,X1,Nafta
