Puertas,Kilómetros,Precio_usd,Antigüedad,Cilindrada,Transmisión_Manual,vendedor_particular,combustible_Diésel,combustible_Nafta,combustible_Otros
5.0,700000.0,29529.385957511433,5.0,2.4,1.0,0.0,0.0,0.0,1.0
5.0,1380000.0,13500.0,13.0,2.4,0.0,0.0,0.0,1.0,0.0
5.0,1600000.0,13800.0,14.0,2.0,0.0,1.0,0.0,1.0,0.0
3.0,1190000.0,43000.0,12.0,3.6,1.0,0.0,0.0,1.0,0.0
5.0,0.0,32144.8458566053,0.0,1.0,0.0,0.0,0.0,1.0,0.0
5.0,1520000.0,18476.958641985726,11.0,2.0,0.0,1.0,0.0,1.0,0.0
5.0,0.0,30457.452373318934,0.0,1.3,0.0,0.0,0.0,1.0,0.0
5.0,1360000.0,36700.808261478494,6.0,2.2,0.0,0.0,1.0,0.0,0.0
5.0,1173520.0,15423.620133979042,7.0,1.5,1.0,0.0,0.0,0.0,1.0
5.0,130000.0,49300.0,2.0,1.4,0.0,1.0,0.0,1.0,0.0
5.0,1400000.0,15500.0,6.0,1.6,1.0,0.0,0.0,1.0,0.0
5.0,0.0,48933.567318563015,0.0,2.8,0.0,0.0,1.0,0.0,0.0
5.0,1600000.0,11389.90601218298,12.0,2.0,1.0,1.0,0.0,1.0,0.0
